vx：108,vy: 448, n_blk: 252, times:2.700000, 正确率：0.703704
vx：108,vy: 448, n_blk: 252, times:2.800000, 正确率：0.666667
vx：108,vy: 448, n_blk: 252, times:2.900000, 正确率：0.617284
vx：108,vy: 448, n_blk: 252, times:3.000000, 正确率：0.592593
vx：108,vy: 504, n_blk: 224, times:1.100000, 正确率：0.913580
vx：108,vy: 504, n_blk: 224, times:1.200000, 正确率：0.962963
vx：108,vy: 504, n_blk: 224, times:1.300000, 正确率：0.962963
vx：108,vy: 504, n_blk: 224, times:1.400000, 正确率：0.975309
vx：108,vy: 504, n_blk: 224, times:1.500000, 正确率：0.962963
vx：108,vy: 504, n_blk: 224, times:1.600000, 正确率：0.962963
vx：108,vy: 504, n_blk: 224, times:1.700000, 正确率：0.950617
vx：108,vy: 504, n_blk: 224, times:1.800000, 正确率：0.938272
vx：108,vy: 504, n_blk: 224, times:1.900000, 正确率：0.925926
vx：108,vy: 504, n_blk: 224, times:2.000000, 正确率：0.925926
vx：108,vy: 504, n_blk: 224, times:2.100000, 正确率：0.876543
vx：108,vy: 504, n_blk: 224, times:2.200000, 正确率：0.839506
vx：108,vy: 504, n_blk: 224, times:2.300000, 正确率：0.814815
vx：108,vy: 504, n_blk: 224, times:2.400000, 正确率：0.777778
vx：108,vy: 504, n_blk: 224, times:2.500000, 正确率：0.740741
vx：108,vy: 504, n_blk: 224, times:2.600000, 正确率：0.728395
vx：108,vy: 504, n_blk: 224, times:2.700000, 正确率：0.716049
vx：108,vy: 504, n_blk: 224, times:2.800000, 正确率：0.691358
vx：108,vy: 504, n_blk: 224, times:2.900000, 正确率：0.617284
vx：108,vy: 504, n_blk: 224, times:3.000000, 正确率：0.592593
vx：108,vy: 576, n_blk: 196, times:1.100000, 正确率：0.925926
vx：108,vy: 576, n_blk: 196, times:1.200000, 正确率：0.962963
vx：108,vy: 576, n_blk: 196, times:1.300000, 正确率：0.975309
vx：108,vy: 576, n_blk: 196, times:1.400000, 正确率：0.962963
vx：108,vy: 576, n_blk: 196, times:1.500000, 正确率：0.962963
vx：108,vy: 576, n_blk: 196, times:1.600000, 正确率：0.962963
vx：108,vy: 576, n_blk: 196, times:1.700000, 正确率：0.950617
vx：108,vy: 576, n_blk: 196, times:1.800000, 正确率：0.938272
vx：108,vy: 576, n_blk: 196, times:1.900000, 正确率：0.925926
vx：108,vy: 576, n_blk: 196, times:2.000000, 正确率：0.901235
vx：108,vy: 576, n_blk: 196, times:2.100000, 正确率：0.851852
vx：108,vy: 576, n_blk: 196, times:2.200000, 正确率：0.814815
vx：108,vy: 576, n_blk: 196, times:2.300000, 正确率：0.802469
vx：108,vy: 576, n_blk: 196, times:2.400000, 正确率：0.753086
vx：108,vy: 576, n_blk: 196, times:2.500000, 正确率：0.740741
vx：108,vy: 576, n_blk: 196, times:2.600000, 正确率：0.716049
vx：108,vy: 576, n_blk: 196, times:2.700000, 正确率：0.703704
vx：108,vy: 576, n_blk: 196, times:2.800000, 正确率：0.629630
vx：108,vy: 576, n_blk: 196, times:2.900000, 正确率：0.617284
vx：108,vy: 576, n_blk: 196, times:3.000000, 正确率：0.567901
vx：108,vy: 672, n_blk: 168, times:1.100000, 正确率：0.938272
vx：108,vy: 672, n_blk: 168, times:1.200000, 正确率：0.962963
vx：108,vy: 672, n_blk: 168, times:1.300000, 正确率：0.962963
vx：108,vy: 672, n_blk: 168, times:1.400000, 正确率：0.975309
vx：108,vy: 672, n_blk: 168, times:1.500000, 正确率：0.962963
vx：108,vy: 672, n_blk: 168, times:1.600000, 正确率：0.962963
vx：108,vy: 672, n_blk: 168, times:1.700000, 正确率：0.962963
vx：108,vy: 672, n_blk: 168, times:1.800000, 正确率：0.962963
vx：108,vy: 672, n_blk: 168, times:1.900000, 正确率：0.938272
